Name;Country;Ingredients;Instructions;Meal Type;Spice Level;Cooking Time (minutes);Vegetarian;Main Cooking Method;Serving Temperature;How to Make
Galette;France;Buckwheat flour, ham, cheese, egg, butter;Cook batter on a skillet, add toppings, fold edges, cook until set.;Main;None;20;No;Griddle;Hot;Prepare buckwheat batter, pour onto a hot griddle, add ham, cheese, and an egg, fold edges, cook until egg is set and cheese is melted.
Sichuan Hotpot;China;Broth, beef, tofu, vegetables, chili oil;Cook meat and vegetables in a spicy broth at the table.;Main;High;120;No;Boiling;Hot;Prepare a spicy broth with chili oil and Sichuan peppercorns, cook slices of beef, tofu, and vegetables at the table in the hot broth.
Peking Duck;China;Duck, hoisin sauce, pancakes, scallions, cucumbers;Roast duck, serve with pancakes, hoisin sauce, and sliced vegetables.;Main;Medium;180;No;Roasting;Hot;Roast duck until skin is crispy and meat is tender, carve, serve with thin pancakes, hoisin sauce, scallions, and cucumbers.
Kitfo;Ethiopia;Minced beef, spiced butter, mitmita spice, cardamom;Mix beef with spices and spiced butter, serve raw or slightly cooked.;Main;High;15;No;Mixing;Room;Finely mince beef, mix with spiced butter, mitmita, and cardamom, serve raw or sautéed lightly.
Shiro;Ethiopia;Chickpea flour, garlic, ginger, onions, spices;Simmer chickpea flour with spices and water, serve with injera.;Main;Medium;20;Yes;Simmering;Hot;Roast chickpea flour, simmer with garlic, ginger, onions, and spices until thickened, serve with injera.
Tibs;Ethiopia;Beef, onions, tomatoes, green peppers, spices;Sauté beef with vegetables and spices until tender.;Main;Medium;30;No;Sautéing;Hot;Sauté beef in a hot pan with onions, tomatoes, and green peppers, season with spices, cook until tender.
Fasolia;Ethiopia;Green beans, carrots, onions, tomatoes, garlic;Sauté vegetables with spices until tender, serve as a side dish.;Side;None;20;Yes;Sautéing;Hot;Sauté green beans, carrots, onions, and tomatoes with garlic and spices until vegetables are tender.
Genfo;Ethiopia;Barley flour, water, spiced butter, berbere;Mix barley flour with water to form dough, top with spiced butter and berbere.;Breakfast;High;20;Yes;Boiling;Hot;Boil water, gradually stir in barley flour to form a thick dough, top with spiced butter and berbere.
Gomen;Ethiopia;Collard greens, onions, garlic, ginger, spices;Sauté collard greens with spices and garlic until tender.;Side;Low;30;Yes;Sautéing;Hot;Sauté onions, garlic, and ginger, add chopped collard greens and spices, cook until greens are tender.
Awaze Tibs;Ethiopia;Beef, awaze paste, onions, tomatoes, garlic;Sauté beef with awaze paste and vegetables until cooked through.;Main;High;25;No;Sautéing;Hot;Cook beef with awaze paste, onions, and tomatoes in a pan over high heat until beef is tender, serve hot.
Dulet;Ethiopia;Tripe, liver, minced beef, onions, jalapenos;Cook meats with spices and vegetables, serve hot.;Main;High;30;No;Sautéing;Hot;Chop tripe, liver, and beef finely, sauté with onions, jalapenos, and spices until cooked through.
Chochos;Ethiopia;Lupin beans, onions, tomatoes, jalapenos, lemon;Cook beans with vegetables, season with lemon juice.;Side;Low;45;Yes;Boiling;Hot;Boil lupin beans until tender, mix with onions, tomatoes, and jalapenos, season with fresh lemon juice.
Ye'shimbra Assa;Ethiopia;Chickpea flour, water, garlic, ginger, berbere;Form dough from chickpea flour, shape into fish-like pieces, cook in sauce.;Main;Medium;40;Yes;Simmering;Hot;Prepare dough from chickpea flour, shape into fish pieces, simmer in a spiced sauce until cooked through.
Atayef;Middle East;Flour, yeast, sugar, cheese, nuts;Cook batter on a griddle, fill with cheese or nuts, serve with syrup.;Dessert;None;60;Yes;Griddle;Room;Prepare batter, cook on a griddle until bubbly, fill with cheese or nuts, fold and serve with syrup.
Fish Curry;India;Fish, coconut milk, tomatoes, onions, spices;Simmer fish in coconut milk with spices and vegetables until tender.;Main;Medium;30;No;Simmering;Hot;Cook onions, tomatoes, and spices, add fish and coconut milk, simmer until fish is cooked through.
Cornbread;USA;Cornmeal, flour, milk, eggs, sugar;Mix ingredients, bake until golden and cooked through.;Side;None;30;Yes;Baking;Hot;Combine cornmeal, flour, milk, eggs, and sugar, pour into a baking dish, bake until golden brown.
Pumpkin Soup;Australia;Pumpkin, onions, garlic, broth, cream;Simmer pumpkin with onions and garlic in broth, blend until smooth.;Soup;None;40;Yes;Boiling;Hot;Cook pumpkin, onions, and garlic in broth until tender, blend until smooth, add cream, and serve hot.
Baklava;Greece;Phyllo dough, nuts, honey, sugar, butter;Layer phyllo with nuts and butter, bake, drizzle with honey syrup.;Dessert;None;60;Yes;Baking;Room;Layer phyllo dough with chopped nuts and butter, bake until golden, pour over honey syrup, cool before serving.
Pierogi;Poland;Flour, potatoes, cheese, onions, butter;Fill dough with potato mixture, boil, sauté with onions.;Main;None;45;Yes;Boiling;Hot;Prepare dough, fill with mashed potato and cheese, boil, sauté with butter and onions until golden.
Shakshouka;North Africa;Tomatoes, peppers, onions, eggs, spices;Cook tomatoes and peppers with spices, crack eggs on top, simmer.;Breakfast;Medium;25;Yes;Simmering;Hot;Sauté onions, tomatoes, and peppers with spices, create wells, crack eggs into wells, cover and cook until eggs set.
Chole Bhature;India;Chickpeas, flour, spices, yogurt, oil;Cook chickpeas with spices, serve with deep-fried bread.;Main;High;90;Yes;Boiling;Hot;Cook chickpeas in a spiced gravy, prepare dough from flour and yogurt, deep-fry until puffed, serve together.
Stuffed Peppers;Spain;Bell peppers, rice, ground beef, tomatoes, spices;Stuff peppers with rice and beef mixture, bake until peppers are tender.;Main;Medium;60;No;Baking;Hot;Mix cooked rice with ground beef and tomatoes, stuff into hollowed bell peppers, bake until peppers are tender.
Churros;Spain;Flour, water, sugar, oil, cinnamon;Fry dough until golden, coat in cinnamon sugar.;Dessert;None;20;Yes;Frying;Hot;Prepare dough, pipe into hot oil, fry until golden and crispy, roll in cinnamon sugar, serve warm.
Tandoori Chicken;India;Chicken, yogurt, spices, lemon, garlic;Marinate chicken in spiced yogurt, grill until charred.;Main;High;40;No;Grilling;Hot;Marinate chicken in a mixture of yogurt, spices, lemon, and garlic, grill until charred and cooked through.
Bulgogi;Korea;Beef, soy sauce, sugar, garlic, sesame oil;Marinate beef in sauce, grill or sauté until caramelized.;Main;Medium;30;No;Grilling;Hot;Slice beef thinly, marinate in a sweet soy sauce mixture, grill or sauté until caramelized and tender.
Peking Duck;China;Duck, hoisin sauce, pancakes, scallions, cucumbers;Roast duck until crispy, serve with pancakes and vegetables.;Main;Medium;180;No;Roasting;Hot;Roast duck until skin is crispy, carve, serve with pancakes, hoisin sauce, scallions, and cucumbers.
Pork Schnitzel;Germany;Pork, flour, eggs, breadcrumbs, oil;Bread pork cutlets, fry until golden and crispy.;Main;None;25;No;Frying;Hot;Flatten pork cutlets, dredge in flour, egg, and breadcrumbs, fry in hot oil until golden and crispy.
Pasta Primavera;Italy;Pasta, tomatoes, zucchini, bell peppers, garlic;Cook pasta with sautéed vegetables, serve with cheese.;Main;None;20;Yes;Boiling;Hot;Boil pasta until al dente, sauté tomatoes, zucchini, and bell peppers with garlic, toss with pasta and Parmesan.
Pasta Puttanesca;Italy;Pasta, tomatoes, olives, capers, garlic;Cook pasta, toss with a spicy tomato sauce with olives and capers.;Main;High;25;Yes;Boiling;Hot;Boil pasta, prepare sauce with tomatoes, olives, capers, and garlic, combine and serve hot.
Cobb Salad;USA;Lettuce, chicken, bacon, eggs, avocado, blue cheese;Arrange ingredients on a plate, drizzle with dressing.;Salad;None;15;No;No-cook;Cold;Chop lettuce, cook bacon, hard-boil eggs, arrange with chicken, avocado, and blue cheese, drizzle with dressing.
Pad Thai;Thailand;Rice noodles, shrimp, tofu, peanuts, tamarind;Stir-fry noodles with shrimp and sauce, top with peanuts.;Main;Medium;30;No;Stir-frying;Hot;Soak rice noodles, stir-fry with shrimp, tofu, peanuts, and tamarind sauce, serve hot with lime wedges.
Chicken Shawarma;Middle East;Chicken, yogurt, garlic, spices, pita;Marinate chicken, grill or roast, serve in pita with vegetables.;Main;Medium;60;No;Grilling;Hot;Marinate chicken in yogurt and spices, grill until cooked through, serve in pita with lettuce, tomatoes, and sauce.
Dolma;Turkey;Grape leaves, rice, onions, pine nuts, spices;Stuff grape leaves with rice and spices, simmer in broth.;Appetizer;Low;90;Yes;Simmering;Hot;Prepare filling with rice, onions, and spices, stuff grape leaves, simmer in a broth until tender.
Moussaka;Greece;Eggplant, ground beef, tomatoes, béchamel sauce;Layer eggplant with meat sauce, top with béchamel, bake.;Main;Low;90;No;Baking;Hot;Slice eggplant, layer with a meat sauce, top with béchamel sauce, bake until golden and bubbly.
Kibbeh;Middle East;Bulgur, ground meat, onions, spices, pine nuts;Stuff meat mixture in bulgur dough, bake or fry.;Appetizer;Medium;45;No;Baking;Hot;Prepare a dough with bulgur, fill with ground meat, onions, and pine nuts, shape and bake or fry until golden.
Fesenjan;Iran;Chicken, pomegranate molasses, walnuts, onions, spices;Simmer chicken with a walnut-pomegranate sauce until tender.;Main;Medium;120;No;Simmering;Hot;Cook chicken with onions, walnuts, and pomegranate molasses, simmer until flavors meld and sauce thickens.
Baba Ganoush;Middle East;Eggplant, tahini, garlic, lemon juice, olive oil;Roast eggplant, blend with tahini and seasonings, serve as a dip.;Appetizer;None;45;Yes;Blending;Room;Roast eggplant until charred, scoop flesh, blend with tahini, garlic, and lemon juice, serve with pita bread.
Empanadas;Argentina;Flour, ground beef, onions, olives, eggs;Fill dough with meat mixture, fold and bake until golden.;Main;Medium;45;No;Baking;Hot;Prepare dough, fill with seasoned ground beef mixture, fold and crimp edges, bake until golden brown.
Tom Yum Soup;Thailand;Shrimp, mushrooms, lemongrass, lime leaves, chili paste;Simmer shrimp and vegetables in a spicy broth, serve hot.;Soup;High;30;No;Boiling;Hot;Simmer shrimp, mushrooms, lemongrass, and lime leaves in a spicy broth until shrimp is cooked through, serve hot.
Galbi;Korea;Short ribs, soy sauce, sugar, garlic, sesame oil;Marinate ribs in sauce, grill until caramelized and tender.;Main;Medium;180;No;Grilling;Hot;Marinate short ribs in a sweet soy sauce mixture, grill over high heat until caramelized and tender.
Laksa;Malaysia;Rice noodles, coconut milk, shrimp, chicken, curry paste;Cook noodles in a spicy coconut broth with shrimp and chicken.;Main;High;60;No;Boiling;Hot;Prepare a spicy coconut broth with curry paste, cook rice noodles, shrimp, and chicken until done, serve with fresh herbs.
Pav Bhaji;India;Potatoes, peas, tomatoes, spices, butter;Cook vegetables with spices, mash, serve with buttered bread.;Main;Medium;40;Yes;Boiling;Hot;Cook potatoes, peas, and tomatoes with spices, mash to a smooth consistency, serve with buttered bread rolls.
Okonomiyaki;Japan;Flour, cabbage, eggs, pork, mayonnaise;Mix ingredients, cook on a griddle, top with mayonnaise and sauce.;Main;None;20;No;Griddle;Hot;Prepare batter with flour, cabbage, and eggs, pour onto a griddle, top with pork, cook until golden, drizzle with mayonnaise and sauce.
Gazpacho;Spain;Tomatoes, cucumbers, peppers, garlic, vinegar;Blend vegetables until smooth, chill and serve cold.;Soup;None;15;Yes;Blending;Cold;Blend tomatoes, cucumbers, peppers, and garlic with vinegar until smooth, chill and serve cold with crusty bread.
Rendang;Indonesia;Beef, coconut milk, lemongrass, ginger, spices;Simmer beef in a coconut-spiced broth until tender and dry.;Main;High;240;No;Simmering;Hot;Cook beef with coconut milk, lemongrass, and spices, simmer until liquid evaporates and beef is tender and caramelized.
Boeuf Bourguignon;France;Beef, red wine, onions, carrots, mushrooms, bacon;Simmer beef in red wine with vegetables until tender.;Main;Low;180;No;Braising;Hot;Brown beef with bacon, add red wine, onions, carrots, and mushrooms, simmer slowly until beef is fork-tender.
Himbasha;Ethiopia;Flour, sugar, yeast, milk, eggs;Mix ingredients, knead dough, bake until golden brown.;Dessert;None;45;Yes;Baking;Hot;Combine flour, sugar, yeast, milk, and eggs to form dough, knead, let rise, bake until golden and fluffy.
Bozena Shiro;Ethiopia;Chickpea flour, beef, onions, garlic, berbere spice;Simmer beef in a chickpea sauce with spices until thickened.;Main;Medium;60;No;Simmering;Hot;Cook beef with onions, garlic, and berbere, add chickpea flour and water, simmer until sauce thickens.
Fried Plantains;Caribbean;Plantains, oil, salt;Slice plantains, fry in hot oil until golden brown, sprinkle with salt.;Side;None;10;Yes;Frying;Hot;Peel and slice plantains, fry in hot oil until golden, drain, and sprinkle with salt before serving.
Chimichanga;Mexico;Flour tortilla, chicken, cheese, beans, salsa;Fill tortilla with ingredients, fry until crispy.;Main;Medium;20;No;Frying;Hot;Fill flour tortilla with chicken, cheese, and beans, fold, and fry until golden and crispy, serve with salsa.
Jollof Rice;Nigeria;Rice, tomatoes, onions, peppers, chicken;Cook rice with a spiced tomato sauce, mix with chicken.;Main;Medium;60;No;Boiling;Hot;Sauté onions, peppers, and tomatoes, add spices and chicken, stir in rice, cook until rice is tender.
Mango Sticky Rice;Thailand;Sticky rice, mango, coconut milk, sugar, salt;Steam rice, mix with sweetened coconut milk, serve with sliced mango.;Dessert;None;30;Yes;Steaming;Room;Steam sticky rice, mix with coconut milk, sugar, and salt, serve topped with fresh mango slices.
Caesar Salad;Italy;Romaine lettuce, croutons, parmesan, Caesar dressing, anchovies;Toss lettuce with dressing, top with croutons and parmesan.;Salad;None;10;Yes;No-cook;Cold;Chop romaine lettuce, toss with Caesar dressing, top with croutons, parmesan, and anchovies if desired.
Gado-Gado;Indonesia;Vegetables, tofu, tempeh, peanut sauce;Blanch vegetables, fry tofu and tempeh, serve with peanut sauce.;Main;Medium;30;Yes;Blanching;Room;Blanch assorted vegetables, fry tofu and tempeh until crispy, serve with a thick, spicy peanut sauce.
Bangers and Mash;UK;Sausages, potatoes, butter, milk, onions, gravy;Grill sausages, serve with mashed potatoes and onion gravy.;Main;Low;45;No;Grilling;Hot;Boil potatoes, mash with butter and milk, grill sausages, serve with mashed potatoes and onion gravy.
Moules-Frites;Belgium;Mussels, white wine, shallots, garlic, fries;Steam mussels in white wine and garlic, serve with fries.;Main;None;30;No;Steaming;Hot;Steam mussels in white wine, shallots, and garlic, fry potatoes until golden, serve together hot.
Ratatouille;France;Eggplant, zucchini, tomatoes, onions, garlic, herbs;Layer vegetables, bake until tender, drizzle with olive oil.;Main;Low;60;Yes;Baking;Hot;Slice vegetables thinly, layer in a dish, bake with olive oil, garlic, and herbs until tender and flavorful.
Paneer Tikka;India;Paneer, yogurt, spices, bell peppers, onions;Marinate paneer, grill with vegetables, serve with mint chutney.;Appetizer;Medium;30;Yes;Grilling;Hot;Cut paneer into cubes, marinate in spiced yogurt, grill with bell peppers and onions, serve hot.
Clam Chowder;USA;Clams, potatoes, onions, celery, cream, bacon;Simmer clams with vegetables and cream until thickened.;Soup;None;40;No;Simmering;Hot;Cook bacon, add onions, celery, and potatoes, simmer with clams and cream until soup is thick and hearty.
Baba Ghanoush;Middle East;Eggplant, tahini, garlic, lemon juice, olive oil;Roast eggplant, blend with tahini and seasonings, serve as a dip.;Appetizer;None;45;Yes;Blending;Room;Roast eggplant until charred, scoop flesh, blend with tahini, garlic, and lemon juice, serve with pita bread.
Sauerbraten;Germany;Beef, vinegar, onions, spices, potatoes;Marinate beef in vinegar and spices, roast until tender, serve with potatoes.;Main;Low;240;No;Roasting;Hot;Marinate beef in a vinegar and spice mix, slow roast until tender, serve with boiled potatoes.
Chicken Mole;Mexico;Chicken, mole sauce, rice, onions, garlic;Simmer chicken in a rich mole sauce, serve with rice.;Main;High;90;No;Simmering;Hot;Brown chicken pieces, simmer in a deep, complex mole sauce, serve over steamed rice.
Kimchi Jjigae;Korea;Kimchi, tofu, pork, garlic, onions;Simmer kimchi with pork and tofu in a spicy broth.;Main;High;40;No;Simmering;Hot;Sauté pork with onions and garlic, add kimchi, simmer with tofu in broth until flavors meld together.
Tteokbokki;Korea;Rice cakes, gochujang, fish cakes, cabbage, onions;Cook rice cakes in a spicy gochujang sauce with vegetables.;Main;High;30;Yes;Boiling;Hot;Simmer rice cakes and fish cakes in a spicy gochujang sauce, add cabbage and onions, cook until sauce thickens.
Pavlova;New Zealand;Egg whites, sugar, fruit, cream, vinegar;Whip egg whites, bake meringue, top with fruit and cream.;Dessert;None;90;Yes;Baking;Room;Beat egg whites with sugar to stiff peaks, bake until crisp, top with fresh fruit and whipped cream.
Bouillabaisse;France;Fish, shellfish, tomatoes, onions, saffron;Simmer assorted seafood in a saffron broth with vegetables.;Main;None;60;No;Simmering;Hot;Prepare a rich broth with tomatoes, onions, and saffron, add fish and shellfish, simmer until seafood is tender.
Gumbo;USA;Shrimp, sausage, okra, bell peppers, onions, spices;Cook shrimp and sausage in a spicy broth with vegetables and rice.;Main;High;90;No;Simmering;Hot;Brown sausage, add shrimp, okra, and vegetables, simmer in a spicy broth, serve over rice.
Dumplings;China;Flour, pork, cabbage, ginger, garlic, soy sauce;Fill dough with meat mixture, steam or fry until cooked.;Appetizer;None;30;No;Steaming;Hot;Mix pork, cabbage, ginger, garlic, and soy sauce, fill dumpling wrappers, steam or fry until cooked through.
Bibimbap;Korea;Rice, beef, vegetables, egg, gochujang;Arrange ingredients over rice, serve with gochujang sauce.;Main;Medium;30;No;No-cook;Hot;Cook rice, sauté vegetables, and beef, arrange over rice, top with a fried egg, and serve with gochujang.
Cornish Pasty;UK;Flour, beef, potatoes, onions, rutabaga;Fill dough with beef and vegetable mixture, bake until golden.;Main;None;60;No;Baking;Hot;Prepare dough, fill with a mixture of diced beef, potatoes, onions, and rutabaga, crimp edges, bake until golden brown.
Ceviche;Peru;Fish, lime juice, onions, cilantro, chili peppers;Marinate raw fish in lime juice, mix with vegetables.;Appetizer;High;20;Yes;Marinating;Cold;Dice fresh fish, marinate in lime juice with onions, cilantro, and chili peppers, serve chilled.
Chicken Satay;Thailand;Chicken, peanut sauce, soy sauce, garlic, ginger;Marinate chicken, grill skewers, serve with peanut sauce.;Appetizer;Medium;30;No;Grilling;Hot;Marinate chicken in a soy sauce mixture, thread onto skewers, grill until cooked, serve with a peanut dipping sauce.
Pasta Carbonara;Italy;Pasta, eggs, pancetta, parmesan, black pepper;Mix cooked pasta with eggs and pancetta, serve with parmesan.;Main;None;20;No;Boiling;Hot;Cook pasta, toss with beaten eggs, cooked pancetta, and parmesan cheese, serve hot with black pepper.
Chilaquiles;Mexico;Tortilla chips, eggs, salsa, cheese, sour cream;Cook tortilla chips in salsa, top with eggs and cheese.;Breakfast;Medium;20;Yes;Boiling;Hot;Heat tortilla chips in a skillet, add salsa, top with fried eggs, cheese, and a dollop of sour cream.
Paella;Spain;Rice, saffron, seafood, chicken, bell peppers;Cook rice with saffron and stock, add seafood and chicken.;Main;None;60;No;Simmering;Hot;Sauté chicken and bell peppers, add rice, stock, and saffron, stir in seafood, cook until rice is tender and flavors meld.
Stuffed Peppers;Greece;Bell peppers, rice, ground beef, onions, tomatoes;Fill peppers with rice and meat mixture, bake until tender.;Main;Medium;45;No;Baking;Hot;Cut tops off bell peppers, fill with a mixture of rice, ground beef, onions, and tomatoes, bake until peppers are soft.
Aloo Gobi;India;Potatoes, cauliflower, onions, tomatoes, spices;Cook vegetables with spices, serve hot.;Main;Medium;30;Yes;Sautéing;Hot;Sauté onions, add potatoes and cauliflower, stir in spices and tomatoes, cook until vegetables are tender.
Borscht;Russia;Beets, cabbage, potatoes, onions, garlic;Simmer beets and vegetables in broth, serve with sour cream.;Soup;None;60;Yes;Boiling;Hot;Simmer beets, cabbage, potatoes, and onions in a broth until tender, serve with a dollop of sour cream.
Feijoada;Brazil;Black beans, pork, beef, onions, garlic, bay leaves;Simmer beans with meat and spices until tender.;Main;Low;180;No;Simmering;Hot;Cook black beans with a mixture of pork, beef, onions, garlic, and bay leaves until tender and flavorful.
Falafel;Middle East;Chickpeas, onions, garlic, parsley, spices;Blend ingredients, shape into balls, fry until golden brown.;Appetizer;Medium;30;Yes;Frying;Hot;Soak chickpeas, blend with onions, garlic, and spices, shape into balls, fry until golden brown, serve with pita bread.
Huevos Rancheros;Mexico;Eggs, tortillas, salsa, beans, avocado;Top tortillas with beans and eggs, serve with salsa and avocado.;Breakfast;Medium;20;Yes;Frying;Hot;Fry eggs, heat tortillas, top with refried beans and eggs, serve with salsa and sliced avocado.
Peking Duck;China;Duck, soy sauce, hoisin sauce, scallions, pancakes;Roast duck, serve with pancakes, hoisin sauce, and scallions.;Main;None;120;No;Roasting;Hot;Prepare duck with a soy-based marinade, roast until skin is crispy, serve with pancakes and hoisin sauce.
Shrimp Scampi;Italy;Shrimp, garlic, butter, lemon juice, parsley;Sauté shrimp in butter and garlic, serve with pasta or bread.;Main;None;20;No;Sautéing;Hot;Sauté shrimp with garlic and butter, add lemon juice and parsley, serve hot over pasta or with crusty bread.
Churros;Spain;Flour, water, butter, sugar, cinnamon;Pipe dough into hot oil, fry until golden, roll in sugar and cinnamon.;Dessert;None;30;Yes;Frying;Hot;Mix flour, water, and butter to form a dough, pipe into hot oil, fry until golden, roll in sugar and cinnamon.
Chicken Parmigiana;Italy;Chicken, mozzarella, tomato sauce, parmesan, breadcrumbs;Bread chicken, fry, bake with sauce and cheese until bubbly.;Main;None;45;No;Baking;Hot;Bread chicken breasts, fry until golden, bake with tomato sauce and cheese until bubbly and melted.
Tandoori Chicken;India;Chicken, yogurt, spices, lemon juice;Marinate chicken in spiced yogurt, grill until charred.;Main;High;60;No;Grilling;Hot;Marinate chicken in a yogurt and spice mixture, grill until cooked through and charred, serve with lemon wedges.
Doro Wat;Ethiopia;Chicken, onions, garlic, ginger, berbere spice;Simmer chicken in a spicy stew with onions and berbere.;Main;High;90;No;Simmering;Hot;Cook onions, garlic, and ginger until soft, add berbere spice, chicken, and water, simmer until chicken is tender.
Ye’abesha Gomen;Ethiopia;Collard greens, onions, garlic, ginger, niter kibbeh;Cook greens with spices and clarified butter until tender.;Side;Medium;30;Yes;Sautéing;Hot;Sauté onions, garlic, and ginger in niter kibbeh, add collard greens, cook until tender.
Injera;Ethiopia;Teff flour, water, yeast;Ferment batter, cook on a hot griddle until bubbly and set.;Side;None;60;Yes;Griddle;Hot;Mix teff flour with water and yeast, ferment until bubbly, pour batter on a hot griddle, cook until spongy and set.
Awaze Tibs;Ethiopia;Beef, onions, tomatoes, berbere spice, butter;Sauté beef with onions and tomatoes, seasoned with berbere.;Main;High;30;No;Sautéing;Hot;Sauté beef strips with onions and tomatoes, season with berbere spice, and serve hot.
Zigni;Eritrea;Beef, tomatoes, onions, berbere spice, garlic;Simmer beef in a spicy tomato sauce until tender.;Main;High;90;No;Simmering;Hot;Cook onions and garlic until soft, add beef, tomatoes, and berbere spice, simmer until beef is tender.
Galettes;France;Buckwheat flour, water, salt, eggs, cheese;Prepare batter, cook on a hot griddle, fill with cheese and eggs.;Main;None;20;Yes;Griddle;Hot;Mix buckwheat flour with water and salt, pour batter on a hot griddle, cook, fill with cheese and eggs, fold and serve.
Fufu;Nigeria;Yam, plantain, cassava, water;Boil yams and plantains, mash until smooth.;Side;None;40;Yes;Boiling;Hot;Peel and boil yams and plantains, pound or mash them until smooth and stretchy, shape into balls, serve with soup or stew.
Shiro;Ethiopia;Chickpea flour, onions, garlic, berbere spice, oil;Cook chickpea flour with spices and water until thickened.;Main;Medium;30;Yes;Simmering;Hot;Sauté onions and garlic in oil, add chickpea flour and berbere spice, cook with water until thick and creamy.
Kimchi Jjigae;Korea;Kimchi, pork, tofu, onions, gochujang;Simmer kimchi with pork and tofu in a spicy broth.;Main;High;40;No;Simmering;Hot;Sauté kimchi with pork and onions, add tofu and gochujang, simmer in broth until flavors meld.
Bibimbap;Korea;Rice, vegetables, beef, egg, gochujang;Arrange rice with vegetables, beef, and egg, mix with gochujang.;Main;Medium;30;No;Mixing;Hot;Cook rice, sauté vegetables and beef, arrange in a bowl with rice, top with a fried egg and gochujang sauce.
Cacio e Pepe;Italy;Pasta, pecorino cheese, black pepper, olive oil, salt;Toss cooked pasta with cheese and pepper until creamy.;Main;None;20;Yes;Mixing;Hot;Cook pasta, toss with grated pecorino cheese, black pepper, and olive oil until sauce is creamy.
Kofta Curry;India;Ground lamb, onions, garlic, tomatoes, spices;Form meatballs, simmer in spiced tomato gravy.;Main;Medium;60;No;Simmering;Hot;Mix ground lamb with spices, form meatballs, cook in a spiced tomato gravy until tender.
Chicken Katsu;Japan;Chicken breast, flour, eggs, panko, oil;Bread chicken, fry until golden, serve with sauce.;Main;None;30;No;Frying;Hot;Coat chicken breast in flour, dip in beaten eggs, coat in panko breadcrumbs, fry until crispy and golden.
Pav Bhaji;India;Mixed vegetables, potatoes, butter, pav bread, spices;Mash vegetables, cook with spices, serve with buttered bread.;Main;Medium;40;Yes;Sautéing;Hot;Boil and mash mixed vegetables, cook with spices and butter, serve hot with buttered pav bread.
Onigiri;Japan;Rice, seaweed, fillings, salt, water;Shape rice into balls, wrap with seaweed, fill with fillings.;Snack;None;20;Yes;Shaping;Cold;Cook rice, shape into triangles or balls, fill with desired fillings like pickled plum or salmon, wrap with seaweed.
Steak Frites;France;Steak, potatoes, oil, butter, salt;Grill steak, serve with fries.;Main;None;30;No;Grilling;Hot;Season steak with salt and pepper, grill to desired doneness, serve with crispy fries and a side of garlic butter.
Shepherd's Pie;UK;Ground lamb, potatoes, peas, carrots, onions;Layer meat with mashed potatoes, bake until golden.;Main;None;60;No;Baking;Hot;Cook ground lamb with onions, carrots, and peas, top with mashed potatoes, bake until golden and bubbly.
Chicken Tikka;India;Chicken, yogurt, spices, lemon juice, garlic;Marinate chicken in spiced yogurt, grill until charred.;Main;High;30;No;Grilling;Hot;Mix chicken pieces with yogurt, spices, lemon juice, and garlic, marinate, grill until cooked and charred.
Jollof Rice;Nigeria;Rice, tomatoes, onions, peppers, spices;Cook rice with tomato sauce and vegetables until tender.;Main;Medium;40;Yes;Simmering;Hot;Cook rice with a mixture of tomatoes, onions, peppers, and spices until flavors meld and rice is tender.
Bangers and Mash;UK;Sausages, potatoes, onions, butter, milk;Grill sausages, serve with mashed potatoes and gravy.;Main;None;30;No;Grilling;Hot;Grill sausages until browned, serve over creamy mashed potatoes with onion gravy.
Hummus;Middle East;Chickpeas, tahini, lemon juice, garlic, olive oil;Blend ingredients into a smooth dip, serve with bread.;Appetizer;None;10;Yes;Blending;Cold;Blend chickpeas with tahini, lemon juice, garlic, and olive oil until smooth, serve with pita bread or vegetables.
Moussaka;Greece;Eggplant, ground beef, tomatoes, béchamel sauce, cheese;Layer eggplant with meat sauce and béchamel, bake until golden.;Main;None;90;No;Baking;Hot;Layer sliced eggplant with a mixture of ground beef and tomatoes, top with béchamel sauce, bake until bubbly and golden.
Pad Kee Mao;Thailand;Rice noodles, chicken, basil, chili, garlic;Stir-fry noodles with chicken, basil, and chili sauce.;Main;High;20;No;Stir-frying;Hot;Stir-fry chicken with garlic and chili, add rice noodles and basil, cook until flavors are melded, serve hot.
Empanadas;Argentina;Flour, beef, onions, spices, eggs;Fill dough with beef mixture, bake or fry until golden.;Appetizer;None;45;No;Baking;Hot;Prepare dough, fill with a seasoned beef mixture, shape into half-moons, bake or fry until golden brown.
Saltimbocca;Italy;Veal, prosciutto, sage, white wine, butter;Wrap veal with prosciutto and sage, cook in wine sauce.;Main;None;30;No;Pan-frying;Hot;Wrap veal cutlets with prosciutto and sage, pan-fry in butter until golden, deglaze with white wine.
Carne Asada;Mexico;Beef, lime, garlic, cilantro, chili;Marinate beef with lime and spices, grill until charred.;Main;High;30;No;Grilling;Hot;Marinate beef with lime juice, garlic, cilantro, and chili, grill until charred and cooked to desired doneness.
Chicken Satay;Thailand;Chicken, peanuts, soy sauce, garlic, coconut milk;Grill chicken skewers, serve with peanut sauce.;Appetizer;Medium;20;No;Grilling;Hot;Thread marinated chicken onto skewers, grill until cooked, serve with a spicy peanut sauce.
Paneer Tikka;India;Paneer, yogurt, spices, bell peppers, onions;Marinate paneer and vegetables, grill until charred.;Main;Medium;30;Yes;Grilling;Hot;Marinate paneer cubes and vegetables in a spiced yogurt mixture, grill until charred and slightly crispy.
